group_key,count,total_power_kw,avg_power_kw,min_power_kw,max_power_kw,min_ref_file,min_ref_index,max_ref_file,max_ref_index
Bremerhaven,3769,111459.399,29.572672,0.001,8000.0,EinheitenSolar_43.json,528,EinheitenWind.json,25048
Mainz,8945,108190.353,12.095065,0.001,6200.0,EinheitenSolar_43.json,51337,EinheitenWind.json,29620
Garmisch-Partenkirchen,7423,100133.716,13.489656,0.15,2586.0,EinheitenSolar_12.json,67622,EinheitenSolar_48.json,28281
Trier,4540,99716.281,21.963939,0.001,5838.0,EinheitenSolar_47.json,89975,EinheitenSolar_2.json,71488
Bottrop,6579,98520.062,14.97493,0.001,3120.0,EinheitenSolar_42.json,30545,EinheitenWind.json,7429
Wiesbaden,7916,96732.353,12.219853,0.002,11400.0,EinheitenSolar_50.json,92332,EinheitenBiomasse.json,7005
Bonn,13428,96231.084,7.16645,0.001,499.29,EinheitenSolar_48.json,16674,EinheitenSolar_1.json,16435
Schwerin,3210,95285.087,29.683828,0.15,9933.26,EinheitenSolar_46.json,42854,EinheitenSolar_8.json,63007
Gelsenkirchen,6411,94257.222,14.702421,0.001,4074.0,EinheitenSolar_41.json,33060,EinheitenGeothermieGrubengasDruckentspannung.json,15
Worms,5259,92387.346,17.567474,0.001,3000.0,EinheitenSolar_45.json,7011,EinheitenWind.json,174
Amberg,4008,85636.978,21.366511,0.1,9999.15,EinheitenSolar_52.json,81628,EinheitenSolar_24.json,15632
Lübeck,7564,85357.159,11.284659,0.001,2679.0,EinheitenSolar_42.json,11929,EinheitenBiomasse.json,12162
Eisenach,624,83961.381,134.553495,0.3,4219.8,EinheitenSolar_24.json,64609,EinheitenSolar_13.json,59065
Kempten (Allgäu),3774,81883.367,21.696706,0.001,5814.84,EinheitenSolar_46.json,38287,EinheitenSolar_15.json,3845
Pforzheim,5327,79656.721,14.953392,0.036,13300.0,EinheitenSolar_50.json,34514,EinheitenBiomasse.json,6369
Wolfsburg,8272,79496.499,9.610312,0.001,1148.928,EinheitenSolar_40.json,68146,EinheitenSolar_7.json,50615
Mülheim an der Ruhr,6909,75703.76,10.957267,0.001,4900.0,EinheitenSolar_41.json,46547,EinheitenWasser.json,4969
Erlangen,7772,73992.622,9.520409,0.008,2061.72,EinheitenSolar_42.json,56056,EinheitenSolar_27.json,38960
Oberhausen,7463,72622.171,9.730962,0.001,4201.68,EinheitenSolar_40.json,82342,EinheitenSolar_31.json,1687
Heidelberg,5612,72393.207,12.899716,0.002,4367.5,EinheitenStromSpeicher_16.json,42546,EinheitenSolar_15.json,41062
Koblenz,4957,70726.65,14.268035,0.001,4000.0,EinheitenSolar_40.json,63684,EinheitenWasser.json,6016
Frankfurt (Oder),2178,69456.274,31.889933,0.001,2884.875,EinheitenSolar_51.json,72704,EinheitenSolar_13.json,72338
